Año;Periodo;África;Asia;Europa;Latinoamérica y Caribe;Norteamérica;Oceanía
1990;Año;21,3;104;32,6;22;15;3,2
1991;Año;21,8;105,8;32,7;22,4;15,1;3,3
1992;Año;22,4;107,5;32,7;22,8;15,3;3,3
1993;Año;23;109,2;32,8;23,2;15,5;3,4
1994;Año;23,6;110,9;32,8;23,6;15,6;3,4
1995;Año;24,2;112,6;32,8;24;15,8;3,5
1996;Año;24,8;114,2;32,8;24,4;16;3,5
1997;Año;25,4;115,8;32,8;24,8;16,2;3,6
1998;Año;26,1;117,4;32,8;25,2;16,4;3,6
1999;Año;26,7;119;32,8;25,5;16,6;3,7
2000;Año;27,4;120,6;32,8;25,9;16,8;3,7
2001;Año;28;122,1;32,8;26,3;16,9;3,8
2002;Año;28,7;123,6;32,8;26,6;17,1;3,8
2003;Año;29,4;125,2;32,9;27;17,2;3,9
2004;Año;30,1;126,7;32,9;27,3;17,4;3,9
2005;Año;30,9;128,2;32,9;27,7;17,5;4
2006;Año;31,7;129,7;33;28;17,7;4
2007;Año;32,5;131,2;33,1;28,4;17,9;4,1
2008;Año;33,3;132,7;33,1;28,7;18,1;4,2
2009;Año;34,2;134,2;33,2;29;18,2;4,3
2010;Año;35,1;135,6;33,3;29,4;18,4;4,3
2011;Año;36;137,1;33,3;29,7;18,6;4,4
2012;Año;36,9;138,6;33,4;30;18,7;4,5
2013;Año;37,9;140;33,5;30,3;18,9;4,6
2014;Año;38,9;141,5;33,5;30,7;19;4,6
2015;Año;39,9;142,9;33,6;31;19,1;4,7
2016;Año;40,9;144,3;33,6;31,3;19,3;4,8
2017;Año;42;145,6;33,7;31,6;19,4;4,8
2018;Año;43;147;33,7;31,9;19,5;4,9
2019;Año;44,1;148,3;33,8;32,2;19,7;5
